forecast_model,feature_set,cv_kind,estimator,n,n_features,mae,r2,run_tag,seed_index
graphwavenet_transfer,physical_knowledge,leave_target_region_out,ridge,52920,12,0.0928321849835553,0.1154978166949503,all_viable_min100_full_s1,1
graphwavenet_transfer,physical_knowledge,leave_target_region_out,random_forest,52920,12,0.0824801499177872,0.1919483604714024,all_viable_min100_full_s1,1
graphwavenet_transfer,generic_shift,leave_target_region_out,ridge,52920,11,0.1056498960881567,-0.1087264960396141,all_viable_min100_full_s1,1
graphwavenet_transfer,generic_shift,leave_target_region_out,random_forest,52920,11,0.0948380649919228,-0.0790329928546127,all_viable_min100_full_s1,1
graphwavenet_transfer,physical_plus_shift,leave_target_region_out,ridge,52920,23,0.0951217524479235,0.0833423051809241,all_viable_min100_full_s1,1
graphwavenet_transfer,physical_plus_shift,leave_target_region_out,random_forest,52920,23,0.0816962255017427,0.178285733115442,all_viable_min100_full_s1,1
graphwavenet_transfer,physical_knowledge,group_by_cell,ridge,52920,12,0.0915341846683894,0.1546844951160405,all_viable_min100_full_s1,1
graphwavenet_transfer,physical_knowledge,group_by_cell,random_forest,52920,12,0.0754853319960838,0.3332369005922585,all_viable_min100_full_s1,1
graphwavenet_transfer,generic_shift,group_by_cell,ridge,52920,11,0.0945899079889628,0.0049256245919416,all_viable_min100_full_s1,1
graphwavenet_transfer,generic_shift,group_by_cell,random_forest,52920,11,0.080584511655515,0.1546940961584444,all_viable_min100_full_s1,1
graphwavenet_transfer,physical_plus_shift,group_by_cell,ridge,52920,23,0.0916544372854521,0.1513114138482648,all_viable_min100_full_s1,1
graphwavenet_transfer,physical_plus_shift,group_by_cell,random_forest,52920,23,0.0623982976515184,0.4295843244211342,all_viable_min100_full_s1,1
linear_window,physical_knowledge,leave_target_region_out,ridge,52920,12,1.146498409967249,-0.0044351446119759,all_viable_min100_full_s1,1
linear_window,physical_knowledge,leave_target_region_out,random_forest,52920,12,1.17506530382444,-0.0540879774383709,all_viable_min100_full_s1,1
linear_window,generic_shift,leave_target_region_out,ridge,52920,11,1.1451317848621134,-0.0001415808652691,all_viable_min100_full_s1,1
linear_window,generic_shift,leave_target_region_out,random_forest,52920,11,1.1470008131824851,-0.0017560138171666,all_viable_min100_full_s1,1
linear_window,physical_plus_shift,leave_target_region_out,ridge,52920,23,1.1469572213627903,-0.0047731833334947,all_viable_min100_full_s1,1
linear_window,physical_plus_shift,leave_target_region_out,random_forest,52920,23,1.1746437519215385,-0.0523436708491638,all_viable_min100_full_s1,1
linear_window,physical_knowledge,group_by_cell,ridge,52920,12,1.1475184767556754,-0.0072247772842923,all_viable_min100_full_s1,1
linear_window,physical_knowledge,group_by_cell,random_forest,52920,12,1.1861205519846278,-0.1071314609627349,all_viable_min100_full_s1,1
linear_window,generic_shift,group_by_cell,ridge,52920,11,1.145116050781659,-0.0003325273843486,all_viable_min100_full_s1,1
linear_window,generic_shift,group_by_cell,random_forest,52920,11,1.1475116114881112,-0.0063675446337976,all_viable_min100_full_s1,1
linear_window,physical_plus_shift,group_by_cell,ridge,52920,23,1.1476377621195268,-0.0073521189230876,all_viable_min100_full_s1,1
linear_window,physical_plus_shift,group_by_cell,random_forest,52920,23,1.1855327364336952,-0.105715292038798,all_viable_min100_full_s1,1
patchtst_small,physical_knowledge,leave_target_region_out,ridge,52920,12,1.1530783723450184,-0.0040486212921566,all_viable_min100_full_s1,1
patchtst_small,physical_knowledge,leave_target_region_out,random_forest,52920,12,1.1808690124579044,-0.0528476825442552,all_viable_min100_full_s1,1
patchtst_small,generic_shift,leave_target_region_out,ridge,52920,11,1.1514502060915557,-9.461947796562951e-05,all_viable_min100_full_s1,1
patchtst_small,generic_shift,leave_target_region_out,random_forest,52920,11,1.154293493259293,-0.0025858413332333,all_viable_min100_full_s1,1
patchtst_small,physical_plus_shift,leave_target_region_out,ridge,52920,23,1.153526861571725,-0.0043161118480385,all_viable_min100_full_s1,1
patchtst_small,physical_plus_shift,leave_target_region_out,random_forest,52920,23,1.1804026807094803,-0.0516455305415977,all_viable_min100_full_s1,1
patchtst_small,physical_knowledge,group_by_cell,ridge,52920,12,1.1538524703464643,-0.0062410655283333,all_viable_min100_full_s1,1
patchtst_small,physical_knowledge,group_by_cell,random_forest,52920,12,1.190949171976551,-0.0982120319727721,all_viable_min100_full_s1,1
patchtst_small,generic_shift,group_by_cell,ridge,52920,11,1.1513454377973278,-0.0002104206006601,all_viable_min100_full_s1,1
patchtst_small,generic_shift,group_by_cell,random_forest,52920,11,1.1539578693463892,-0.0060431616984557,all_viable_min100_full_s1,1
patchtst_small,physical_plus_shift,group_by_cell,ridge,52920,23,1.1539430621702589,-0.0062989752325803,all_viable_min100_full_s1,1
patchtst_small,physical_plus_shift,group_by_cell,random_forest,52920,23,1.1911008848693896,-0.0986905963320268,all_viable_min100_full_s1,1
regional_doy_climatology,physical_knowledge,leave_target_region_out,ridge,52920,12,0.7051954437050604,-0.0363335095775152,all_viable_min100_full_s1,1
regional_doy_climatology,physical_knowledge,leave_target_region_out,random_forest,52920,12,0.7229982634859535,-0.0599062604508362,all_viable_min100_full_s1,1
regional_doy_climatology,generic_shift,leave_target_region_out,ridge,52920,11,0.6330748751599392,0.0537090928248626,all_viable_min100_full_s1,1
regional_doy_climatology,generic_shift,leave_target_region_out,random_forest,52920,11,0.7964747268364475,-0.4743585310725315,all_viable_min100_full_s1,1
regional_doy_climatology,physical_plus_shift,leave_target_region_out,ridge,52920,23,0.544678573620538,0.2159320449447642,all_viable_min100_full_s1,1
regional_doy_climatology,physical_plus_shift,leave_target_region_out,random_forest,52920,23,0.6910480879745556,-0.3354629900344106,all_viable_min100_full_s1,1
regional_doy_climatology,physical_knowledge,group_by_cell,ridge,52920,12,0.6599547413837736,0.037319362196913,all_viable_min100_full_s1,1
regional_doy_climatology,physical_knowledge,group_by_cell,random_forest,52920,12,0.6535177989189145,0.0494773964219578,all_viable_min100_full_s1,1
regional_doy_climatology,generic_shift,group_by_cell,ridge,52920,11,0.4630856001429324,0.3884754518835177,all_viable_min100_full_s1,1
regional_doy_climatology,generic_shift,group_by_cell,random_forest,52920,11,0.1075016238504015,0.9650904082796692,all_viable_min100_full_s1,1
regional_doy_climatology,physical_plus_shift,group_by_cell,ridge,52920,23,0.4015267812356706,0.567416775298326,all_viable_min100_full_s1,1
regional_doy_climatology,physical_plus_shift,group_by_cell,random_forest,52920,23,0.1266156812803154,0.7624382061109254,all_viable_min100_full_s1,1
spatial_knn_ridge,physical_knowledge,leave_target_region_out,ridge,52920,12,0.072357519073067,-0.1423552939960994,all_viable_min100_full_s1,1
spatial_knn_ridge,physical_knowledge,leave_target_region_out,random_forest,52920,12,0.0700309119425639,-0.0041428147635083,all_viable_min100_full_s1,1
spatial_knn_ridge,generic_shift,leave_target_region_out,ridge,52920,11,0.0743490278921412,-0.1681719396271186,all_viable_min100_full_s1,1
spatial_knn_ridge,generic_shift,leave_target_region_out,random_forest,52920,11,0.0973461853398221,-0.9504249626514384,all_viable_min100_full_s1,1
spatial_knn_ridge,physical_plus_shift,leave_target_region_out,ridge,52920,23,0.0720928104030671,-0.2529588705888783,all_viable_min100_full_s1,1
spatial_knn_ridge,physical_plus_shift,leave_target_region_out,random_forest,52920,23,0.0912488125564228,-0.8066747039364626,all_viable_min100_full_s1,1
spatial_knn_ridge,physical_knowledge,group_by_cell,ridge,52920,12,0.06786355837003,0.0009975229443845,all_viable_min100_full_s1,1
spatial_knn_ridge,physical_knowledge,group_by_cell,random_forest,52920,12,0.060623110828618,0.3176804954346252,all_viable_min100_full_s1,1
spatial_knn_ridge,generic_shift,group_by_cell,ridge,52920,11,0.0589933183179417,0.1983012731075283,all_viable_min100_full_s1,1
spatial_knn_ridge,generic_shift,group_by_cell,random_forest,52920,11,0.0296106354754817,0.6536567478241233,all_viable_min100_full_s1,1
spatial_knn_ridge,physical_plus_shift,group_by_cell,ridge,52920,23,0.0578300564779999,0.1319692141451652,all_viable_min100_full_s1,1
spatial_knn_ridge,physical_plus_shift,group_by_cell,random_forest,52920,23,0.0201501596218916,0.8382183854895404,all_viable_min100_full_s1,1
stgcn_diffusion,physical_knowledge,leave_target_region_out,ridge,52920,12,0.0821516435092688,0.0672700949135659,all_viable_min100_full_s1,1
stgcn_diffusion,physical_knowledge,leave_target_region_out,random_forest,52920,12,0.0745828800794655,0.1304834772199465,all_viable_min100_full_s1,1
stgcn_diffusion,generic_shift,leave_target_region_out,ridge,52920,11,0.0916954853139076,-0.0661907802086811,all_viable_min100_full_s1,1
stgcn_diffusion,generic_shift,leave_target_region_out,random_forest,52920,11,0.0973998977976106,-0.3536059906771256,all_viable_min100_full_s1,1
stgcn_diffusion,physical_plus_shift,leave_target_region_out,ridge,52920,23,0.0848351403577341,0.0473097252647266,all_viable_min100_full_s1,1
stgcn_diffusion,physical_plus_shift,leave_target_region_out,random_forest,52920,23,0.0779554698476436,0.060184519960306,all_viable_min100_full_s1,1
stgcn_diffusion,physical_knowledge,group_by_cell,ridge,52920,12,0.0814008756589791,0.0747202601516231,all_viable_min100_full_s1,1
stgcn_diffusion,physical_knowledge,group_by_cell,random_forest,52920,12,0.0726324800055197,0.2121439428165472,all_viable_min100_full_s1,1
stgcn_diffusion,generic_shift,group_by_cell,ridge,52920,11,0.0854548048651015,-0.0018667203928048,all_viable_min100_full_s1,1
stgcn_diffusion,generic_shift,group_by_cell,random_forest,52920,11,0.0720158691177623,0.0727029588694171,all_viable_min100_full_s1,1
stgcn_diffusion,physical_plus_shift,group_by_cell,ridge,52920,23,0.0819851025670872,0.0780598504225439,all_viable_min100_full_s1,1
stgcn_diffusion,physical_plus_shift,group_by_cell,random_forest,52920,23,0.0559385913485907,0.3383955453935293,all_viable_min100_full_s1,1
graphwavenet_transfer,physical_knowledge,leave_target_region_out,ridge,52920,12,0.0951736882930786,0.0607598283370186,all_viable_min100_full_s2,2
graphwavenet_transfer,physical_knowledge,leave_target_region_out,random_forest,52920,12,0.0923983940417143,-0.0153101665455073,all_viable_min100_full_s2,2
graphwavenet_transfer,generic_shift,leave_target_region_out,ridge,52920,11,0.1069373578738734,-0.1136549071434127,all_viable_min100_full_s2,2
graphwavenet_transfer,generic_shift,leave_target_region_out,random_forest,52920,11,0.0947782370955883,-0.0541019579410817,all_viable_min100_full_s2,2
graphwavenet_transfer,physical_plus_shift,leave_target_region_out,ridge,52920,23,0.097575973578766,0.0372658971621604,all_viable_min100_full_s2,2
graphwavenet_transfer,physical_plus_shift,leave_target_region_out,random_forest,52920,23,0.0913799658667063,-0.0528425114109698,all_viable_min100_full_s2,2
graphwavenet_transfer,physical_knowledge,group_by_cell,ridge,52920,12,0.094160575567237,0.1210035788975867,all_viable_min100_full_s2,2
graphwavenet_transfer,physical_knowledge,group_by_cell,random_forest,52920,12,0.0787036126914566,0.2787695650536625,all_viable_min100_full_s2,2
graphwavenet_transfer,generic_shift,group_by_cell,ridge,52920,11,0.0937562637752484,0.0036192230022139,all_viable_min100_full_s2,2
graphwavenet_transfer,generic_shift,group_by_cell,random_forest,52920,11,0.0811230805330144,0.1499308678029968,all_viable_min100_full_s2,2
graphwavenet_transfer,physical_plus_shift,group_by_cell,ridge,52920,23,0.0935739244768457,0.1272647417772949,all_viable_min100_full_s2,2
graphwavenet_transfer,physical_plus_shift,group_by_cell,random_forest,52920,23,0.0672166180360396,0.3438343764391983,all_viable_min100_full_s2,2
linear_window,physical_knowledge,leave_target_region_out,ridge,52920,12,1.121391757957316,-0.0010331536387757,all_viable_min100_full_s2,2
linear_window,physical_knowledge,leave_target_region_out,random_forest,52920,12,1.1491818129257931,-0.050708096321909,all_viable_min100_full_s2,2
linear_window,generic_shift,leave_target_region_out,ridge,52920,11,1.12039050522201,-0.0006554864975021,all_viable_min100_full_s2,2
linear_window,generic_shift,leave_target_region_out,random_forest,52920,11,1.1250101701813977,-0.0053527290013419,all_viable_min100_full_s2,2
linear_window,physical_plus_shift,leave_target_region_out,ridge,52920,23,1.121322689953791,-0.0008272465897223,all_viable_min100_full_s2,2
linear_window,physical_plus_shift,leave_target_region_out,random_forest,52920,23,1.1471173795477567,-0.0457040156231105,all_viable_min100_full_s2,2
linear_window,physical_knowledge,group_by_cell,ridge,52920,12,1.1224810583603717,-0.0021042441028007,all_viable_min100_full_s2,2
linear_window,physical_knowledge,group_by_cell,random_forest,52920,12,1.1572873687563976,-0.0644757829475259,all_viable_min100_full_s2,2
linear_window,generic_shift,group_by_cell,ridge,52920,11,1.1201340197852314,-0.0004269423521079,all_viable_min100_full_s2,2
linear_window,generic_shift,group_by_cell,random_forest,52920,11,1.1228459433254891,-0.0055829658154709,all_viable_min100_full_s2,2
linear_window,physical_plus_shift,group_by_cell,ridge,52920,23,1.1224095859100225,-0.0019541196326593,all_viable_min100_full_s2,2
linear_window,physical_plus_shift,group_by_cell,random_forest,52920,23,1.1567550389601222,-0.0644350201623049,all_viable_min100_full_s2,2
patchtst_small,physical_knowledge,leave_target_region_out,ridge,52920,12,1.1259906986672386,-0.0012574145026058,all_viable_min100_full_s2,2
patchtst_small,physical_knowledge,leave_target_region_out,random_forest,52920,12,1.153075650022165,-0.0488689832247584,all_viable_min100_full_s2,2
patchtst_small,generic_shift,leave_target_region_out,ridge,52920,11,1.1246645258982086,-0.0005250514128549,all_viable_min100_full_s2,2
patchtst_small,generic_shift,leave_target_region_out,random_forest,52920,11,1.1295511900383233,-0.005468554623857,all_viable_min100_full_s2,2
patchtst_small,physical_plus_shift,leave_target_region_out,ridge,52920,23,1.1259481515228014,-0.0010895189660977,all_viable_min100_full_s2,2
patchtst_small,physical_plus_shift,leave_target_region_out,random_forest,52920,23,1.151363271794804,-0.0445662645231681,all_viable_min100_full_s2,2
patchtst_small,physical_knowledge,group_by_cell,ridge,52920,12,1.1272710042354743,-0.0024469586797482,all_viable_min100_full_s2,2
patchtst_small,physical_knowledge,group_by_cell,random_forest,52920,12,1.159561706884645,-0.0582426024282478,all_viable_min100_full_s2,2
patchtst_small,generic_shift,group_by_cell,ridge,52920,11,1.1245146431220856,-0.0004072276902804,all_viable_min100_full_s2,2
patchtst_small,generic_shift,group_by_cell,random_forest,52920,11,1.1273861017490658,-0.005576441700863,all_viable_min100_full_s2,2
patchtst_small,physical_plus_shift,group_by_cell,ridge,52920,23,1.1271574495129075,-0.0022282747057942,all_viable_min100_full_s2,2
