source_region,target_region,kl_source_to_target,kl_target_to_source,wasserstein_precip,mmd_rbf_precip,shift_mean_abs,shift_variance_abs,shift_wet_fraction_abs,shift_p95_abs,shift_p99_abs,shift_monthly_l2,region_centroid_distance_deg
WCE,WCE,0.0,0.0,0.0,0.0004217791313787522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WCE,NEU,0.004688979841334088,0.004816940626164858,0.13002466666666568,0.0016143069824017253,0.10654666666666657,0.6292753152888864,0.01972999999999997,0.3000000000000007,0.3999999999999986,1.7450830251376692,8.370414778311103
WCE,WNA,0.28541993381191194,0.18956154509148662,0.4197073333333337,0.002103811274289047,0.012479333333333287,11.863394785284001,0.04875666666666667,1.0999999999999996,5.600000000000001,4.672393146533508,125.24039992735239
WCE,ENA,0.08041790535253213,0.06489715599792567,1.1792243333333348,0.004232493368024004,0.8977023333333332,52.595939808739004,0.05863666666666667,6.9,18.0,3.3618316783574302,92.34946629686614
WCE,CNA,0.1805545493114656,0.12859857737906627,1.0544073333333357,0.01767546782833973,0.1099473333333334,32.48181937138178,0.14568333333333336,1.9000000000000004,13.200000000000003,2.1753711160294373,108.91918606578403
WCE,SAU,0.045400475925139745,0.04323886061051807,0.5577106666666679,0.006044014512734286,0.47753800000000024,1.9777556247560035,0.09746333333333335,1.4000000000000004,0.7000000000000028,2.1098114704192703,153.18087546489804
WCE,MED,0.08938838092807148,0.07892465024869987,0.7927943333333463,0.01660904487989079,0.4280750000000002,17.721074886875,0.13664,0.5999999999999996,5.300000000000001,4.580067926506824,10.322635159608037
WCE,EAU,0.11186076570024935,0.09317341415605683,0.971953333333333,0.012575506574876272,0.1432420000000003,40.630914040302656,0.11646333333333336,2.5999999999999996,14.100000000000001,4.281183983654968,161.2106366479405
WCE,NWN,0.01796485868333187,0.01799470670756121,0.630561000000001,0.0009437131754188588,0.3490463333333329,30.705394852931008,0.04343666666666668,2.5999999999999996,11.899999999999999,3.05329518084622,144.0016477034404
WCE,NCA,0.35792022389619327,0.23872784310999529,1.2955813333333333,0.043212886608068324,1.1503380000000003,2.3284080386226726,0.21908666666666668,6.0,0.5,4.401611401113482,120.48428220340085
WCE,EAS,0.25470651154866236,0.18496965630611562,3.9237199999999985,0.005964769692856642,3.6691559999999988,361.45664852326405,0.06046666666666667,23.9,70.6,20.111595069760757,109.60718008895698
NEU,WCE,0.004816940626164858,0.004688979841334088,0.13002466666666568,0.0007977283774940336,0.10654666666666657,0.6292753152888864,0.01972999999999997,0.3000000000000007,0.3999999999999986,1.7450830251376692,8.370414778311103
NEU,NEU,0.0,0.0,0.0,0.0003929959386033133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEU,WNA,0.36122350936840736,0.22616059531127705,0.49508266666666617,0.007419764926863692,0.09406733333333328,12.492670100572887,0.06848666666666664,0.7999999999999989,6.0,4.352830920224582,127.06894947565732
NEU,ENA,0.12046663553225999,0.09126385025393328,1.2154583333333342,0.010373606658571788,0.7911556666666666,53.22521512402789,0.07836666666666664,6.6,18.4,3.2538559711562844,94.7228781846377
NEU,CNA,0.25027262239315073,0.1738147864446911,1.159181333333335,0.0318224400677829,0.21649399999999996,33.11109468667067,0.16541333333333333,1.5999999999999996,13.600000000000001,3.0400385480150436,111.12624456065463
NEU,SAU,0.06392765051135793,0.058113578853704405,0.6876120000000006,0.014981447299513118,0.5840846666666668,2.60703094004489,0.11719333333333332,1.700000000000001,1.1000000000000014,2.4855932600568957,157.19668461607165
NEU,MED,0.12639979531952092,0.11222313628033154,0.9145256666666788,0.03037625926694698,0.5346216666666668,18.350350202163888,0.15636999999999998,0.9000000000000004,5.699999999999999,3.9731668288904802,18.63900222761006
NEU,EAU,0.15312516421587524,0.1277256996279793,1.065779333333332,0.02466139714505089,0.036695333333333746,41.26018935559154,0.13619333333333333,2.299999999999999,14.5,3.849268168393619,164.64679029066758
NEU,NWN,0.032785243824319674,0.031854829988407746,0.7121876666666669,0.005667257754802479,0.24249966666666634,31.334670168219894,0.06316666666666665,2.299999999999999,12.299999999999997,1.7355019433796166,144.80471231560347
NEU,NCA,0.4576474431068056,0.2992586729119221,1.4246693333333327,0.06462420296900184,1.2568846666666669,2.957683353911559,0.23881666666666665,6.300000000000001,0.8999999999999986,4.660385343481388,123.03747422185748
NEU,EAS,0.3255549404609843,0.2192852597585832,3.944982666666665,0.01236932789635481,3.562609333333332,362.0859238385529,0.08019666666666664,23.6,71.0,20.742974666106296,110.81141522564081
WNA,WCE,0.18956154509148662,0.28541993381191194,0.4197073333333337,0.001793294656511124,0.012479333333333287,11.863394785284001,0.04875666666666667,1.0999999999999996,5.600000000000001,4.672393146533508,125.24039992735239
WNA,NEU,0.22616059531127705,0.36122350936840736,0.49508266666666617,0.003163205764037391,0.09406733333333328,12.492670100572887,0.06848666666666664,0.7999999999999989,6.0,4.352830920224582,127.06894947565732
WNA,WNA,0.0,0.0,0.0,0.0001976346004632923,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNA,ENA,0.1382535252089499,0.13659132506181082,0.965987666666668,0.0014495350558483278,0.8852229999999999,40.732545023455,0.00988,5.800000000000001,12.399999999999999,5.0988910823768325,33.44857135742529
WNA,CNA,0.13221581045420977,0.09541353150002742,0.6887813333333355,0.006503941047470763,0.12242666666666668,20.61842458609778,0.09692666666666669,0.8000000000000007,7.600000000000001,4.955349578696576,17.049387248412483
WNA,SAU,0.19812073609114114,0.3053528705494534,0.5119079999999995,0.001862530551168362,0.4900173333333335,9.885639160527997,0.048706666666666676,2.5,4.899999999999999,4.537337495811759,263.3615337797457
WNA,MED,0.17008214401827643,0.17834851027011037,0.519315666666679,0.006115546360449642,0.4405543333333335,5.857680101591001,0.08788333333333334,1.6999999999999993,0.3000000000000007,2.41521312176924,122.1791754254358
WNA,EAU,0.16375120765722045,0.17082350233585336,0.6012993333333326,0.0040391037585127965,0.13076266666666703,28.767519255018655,0.06770666666666669,1.5,8.5,2.2985796845226703,274.3909442611336
WNA,NWN,0.1286080795672765,0.18762663414370678,0.4181583333333339,0.00033900181431389953,0.3365669999999996,18.842000067647007,0.005319999999999991,1.5,6.299999999999997,4.228118597879599,24.772908795692988
WNA,NCA,0.17000055405213796,0.11143788900265654,1.1762033333333328,0.02205843258719864,1.1628173333333336,9.534986746661328,0.17033,7.1,5.100000000000001,5.762711567736889,11.95513233006116
WNA,EAS,0.17504832027786282,0.19527291475203432,3.720244666666666,0.0033498349054854604,3.6566766666666655,349.59325373798004,0.011709999999999998,22.8,65.0,23.29106588149178,232.31901396258826
ENA,WCE,0.06489715599792567,0.08041790535253213,1.1792243333333348,0.00573022334125084,0.8977023333333332,52.595939808739004,0.05863666666666667,6.9,18.0,3.3618316783574302,92.34946629686614
ENA,NEU,0.09126385025393328,0.12046663553225999,1.2154583333333342,0.008254879206729404,0.7911556666666666,53.22521512402789,0.07836666666666664,6.6,18.4,3.2538559711562844,94.7228781846377
ENA,WNA,0.13659132506181082,0.1382535252089499,0.965987666666668,0.0012484780857737743,0.8852229999999999,40.732545023455,0.00988,5.800000000000001,12.399999999999999,5.0988910823768325,33.44857135742529
ENA,ENA,0.0,0.0,0.0,0.0005072587183081456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENA,CNA,0.036481795586497716,0.033408262026696514,1.0076643333333328,0.00478257662541548,1.0076496666666666,20.114120437357222,0.08704666666666669,5.0,4.799999999999997,3.6336247778337984,16.632134644836842
ENA,SAU,0.07124165714962512,0.12666193952980218,1.3752403333333336,0.002050262929422564,1.3752403333333334,50.618184183983004,0.038826666666666676,8.3,17.299999999999997,4.734081521809201,230.7533668271362
ENA,MED,0.05451090114672511,0.07194491754854768,1.3340900000000104,0.004652999966540117,1.3257773333333334,34.874864921864,0.07800333333333334,7.5,12.7,5.654966772088928,88.86699762037007
ENA,EAU,0.060556977175969855,0.0699281253883997,0.7690436666666646,0.0022464299309512548,0.7544603333333328,11.965025768436348,0.05782666666666669,4.300000000000001,3.8999999999999986,4.629887749757627,241.5222881464511
ENA,NWN,0.02845217707451164,0.041566137499826336,0.630425333333334,0.0016722182160568977,0.5486560000000003,21.890544955807997,0.015199999999999991,4.300000000000001,6.100000000000001,2.8334670781801767,55.533369801321
ENA,NCA,0.1583314537454483,0.1250180052400897,2.048167000000002,0.019965131620355736,2.0480403333333337,50.267531770116335,0.16045,12.9,17.5,7.192232105523477,28.3461812586143
ENA,EAS,0.11833900264412688,0.07257485304624522,2.7875836666666642,0.0011903186565178636,2.7714536666666656,308.860708714525,0.0018299999999999983,17.0,52.6,18.78741017129765,198.87778734810945
CNA,WCE,0.12859857737906627,0.1805545493114656,1.0544073333333357,0.020364886705334095,0.1099473333333334,32.48181937138178,0.14568333333333336,1.9000000000000004,13.200000000000003,2.1753711160294373,108.91918606578403
CNA,NEU,0.1738147864446911,0.25027262239315073,1.159181333333335,0.025698101242106697,0.21649399999999996,33.11109468667067,0.16541333333333333,1.5999999999999996,13.600000000000001,3.0400385480150436,111.12624456065463
CNA,WNA,0.09541353150002742,0.13221581045420977,0.6887813333333355,0.008419521588016954,0.12242666666666668,20.61842458609778,0.09692666666666669,0.8000000000000007,7.600000000000001,4.955349578696576,17.049387248412483
CNA,ENA,0.033408262026696514,0.036481795586497716,1.0076643333333328,0.009010407413506227,1.0076496666666666,20.114120437357222,0.08704666666666669,5.0,4.799999999999997,3.6336247778337984,16.632134644836842
CNA,CNA,0.0,0.0,0.0,0.00018621081440350906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNA,SAU,0.08091076463661352,0.18949425441829928,0.667710000000001,0.0036113750945154788,0.36759066666666684,30.50406374662578,0.04822000000000001,3.3000000000000007,12.5,2.2465145581162864,246.39227192623088
CNA,MED,0.030961229276570464,0.07603984569202543,0.37792633333334313,0.000301904287839605,0.3181276666666668,14.76074448450678,0.009043333333333348,2.5,7.900000000000002,4.496722296328454,105.49791444936236
CNA,EAU,0.037962156781937234,0.07611585398676891,0.2531913333333306,0.000797455201450914,0.2531893333333337,8.149094668920874,0.029219999999999996,0.6999999999999993,0.8999999999999986,4.911264224874982,257.372756195551
CNA,NWN,0.07476778228662925,0.1094109884519611,0.5199483333333345,0.009710272494791283,0.4589936666666663,1.7764245184507743,0.10224666666666668,0.6999999999999993,1.3000000000000043,3.5708264789205124,40.562142814563344
CNA,NCA,0.03954243998903176,0.033587624990987455,1.041053999999999,0.004854660376758746,1.040390666666667,30.15341133275911,0.07340333333333332,7.9,12.700000000000003,4.460699954893447,12.762112366273143
CNA,EAS,0.0971609620504097,0.0895437202433365,3.77910333333333,0.009309988397322444,3.779103333333332,328.97482915188226,0.08521666666666669,22.0,57.4,20.05107734207234,215.43849633394842
SAU,WCE,0.04323886061051807,0.045400475925139745,0.5577106666666679,0.009476177989008239,0.47753800000000024,1.9777556247560035,0.09746333333333335,1.4000000000000004,0.7000000000000028,2.1098114704192703,153.18087546489804
SAU,NEU,0.058113578853704405,0.06392765051135793,0.6876120000000006,0.014093299634095446,0.5840846666666668,2.60703094004489,0.11719333333333332,1.700000000000001,1.1000000000000014,2.4855932600568957,157.19668461607165
SAU,WNA,0.3053528705494534,0.19812073609114114,0.5119079999999995,0.002491438267355317,0.4900173333333335,9.885639160527997,0.048706666666666676,2.5,4.899999999999999,4.537337495811759,263.3615337797457
SAU,ENA,0.12666193952980218,0.07124165714962512,1.3752403333333336,0.003381918899824976,1.3752403333333334,50.618184183983004,0.038826666666666676,8.3,17.299999999999997,4.734081521809201,230.7533668271362
SAU,CNA,0.18949425441829928,0.08091076463661352,0.667710000000001,0.0035553180129148654,0.36759066666666684,30.50406374662578,0.04822000000000001,3.3000000000000007,12.5,2.2465145581162864,246.39227192623088
SAU,SAU,0.0,0.0,0.0,0.00011324685759506181,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAU,MED,0.023883399040948917,0.02154642457693509,0.31600633333334494,0.003055646244075616,0.049463000000000035,15.743319262118998,0.039176666666666665,0.8000000000000007,4.599999999999998,3.5633458426877147,150.2175969564558
SAU,EAU,0.035760564648069995,0.03259596852144238,0.720112666666665,0.0017675703522039843,0.6207800000000006,38.653158415546656,0.019000000000000017,4.0,13.399999999999999,4.210088849956815,14.532548435721534
SAU,NWN,0.03751574841994015,0.03772070300905568,0.8265843333333328,0.002582683486092252,0.8265843333333331,28.727639228175004,0.05402666666666667,4.0,11.199999999999996,3.4711280434511917,286.27696485570516
SAU,NCA,0.312114375939931,0.1465606040094893,0.741513333333332,0.017811011886395667,0.6728000000000001,0.3506524138666691,0.12162333333333333,4.6,0.20000000000000284,2.8123950007823195,254.75010756009087
SAU,EAS,0.3118211228942141,0.17993642654405217,4.152901333333331,0.004634410364576125,4.146693999999999,359.47889289850804,0.03699666666666668,25.3,69.9,21.4357089001579,64.57329658741189
MED,WCE,0.07892465024869987,0.08938838092807148,0.7927943333333463,0.024050611991538462,0.4280750000000002,17.721074886875,0.13664,0.5999999999999996,5.300000000000001,4.580067926506824,10.322635159608037
MED,NEU,0.11222313628033154,0.12639979531952092,0.9145256666666788,0.030821489904687027,0.5346216666666668,18.350350202163888,0.15636999999999998,0.9000000000000004,5.699999999999999,3.9731668288904802,18.63900222761006
MED,WNA,0.17834851027011037,0.17008214401827643,0.519315666666679,0.010544488976353072,0.4405543333333335,5.857680101591001,0.08788333333333334,1.6999999999999993,0.3000000000000007,2.41521312176924,122.1791754254358
MED,ENA,0.07194491754854768,0.05451090114672511,1.3340900000000104,0.010806306436586421,1.3257773333333334,34.874864921864,0.07800333333333334,7.5,12.7,5.654966772088928,88.86699762037007
MED,CNA,0.07603984569202543,0.030961229276570464,0.37792633333334313,0.000301685860873091,0.3181276666666668,14.76074448450678,0.009043333333333348,2.5,7.900000000000002,4.496722296328454,105.49791444936236
MED,SAU,0.02154642457693509,0.023883399040948917,0.31600633333334494,0.003927471637781066,0.049463000000000035,15.743319262118998,0.039176666666666665,0.8000000000000007,4.599999999999998,3.5633458426877147,150.2175969564558
MED,MED,0.0,0.0,0.0,0.00032231409166616487,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MED,EAU,0.010200362673357784,0.009825704539666847,0.5768350000000122,0.0013062406730577347,0.5713170000000005,22.909839153427654,0.02017666666666665,3.1999999999999993,8.8,3.109341123022417,159.00720004724002
MED,NWN,0.0471878274969365,0.05425774364028282,0.7895700000000113,0.011992685971486061,0.7771213333333331,12.984319966056006,0.09320333333333333,3.1999999999999993,6.599999999999998,3.7990692614582713,142.1048479597585
MED,NCA,0.14284311962293952,0.07078619415124364,0.722263000000013,0.0046026484936585454,0.7222630000000001,15.392666848252329,0.08244666666666667,5.4,4.800000000000001,4.310087516801724,116.55921234492422
MED,EAS,0.17982191619325547,0.12684761553883273,4.099964333333338,0.01162810475961873,4.097230999999999,343.73557363638906,0.07617333333333334,24.5,65.3,23.794120782473577,110.56668173530544
EAU,WCE,0.09317341415605683,0.11186076570024935,0.971953333333333,0.01397532533528989,0.1432420000000003,40.630914040302656,0.11646333333333336,2.5999999999999996,14.100000000000001,4.281183983654968,161.2106366479405
EAU,NEU,0.1277256996279793,0.15312516421587524,1.065779333333332,0.01915412044061826,0.036695333333333746,41.26018935559154,0.13619333333333333,2.299999999999999,14.5,3.849268168393619,164.64679029066758
EAU,WNA,0.17082350233585336,0.16375120765722045,0.6012993333333326,0.004162513278672675,0.13076266666666703,28.767519255018655,0.06770666666666669,1.5,8.5,2.2985796845226703,274.3909442611336
EAU,ENA,0.0699281253883997,0.060556977175969855,0.7690436666666646,0.004033685599284631,0.7544603333333328,11.965025768436348,0.05782666666666669,4.300000000000001,3.8999999999999986,4.629887749757627,241.5222881464511
EAU,CNA,0.07611585398676891,0.037962156781937234,0.2531913333333306,0.0008475960134513016,0.2531893333333337,8.149094668920874,0.029219999999999996,0.6999999999999993,0.8999999999999986,4.911264224874982,257.372756195551
EAU,SAU,0.03259596852144238,0.035760564648069995,0.720112666666665,0.001272443303861115,0.6207800000000006,38.653158415546656,0.019000000000000017,4.0,13.399999999999999,4.210088849956815,14.532548435721534
EAU,MED,0.009825704539666847,0.010200362673357784,0.5768350000000122,0.0007633484694098414,0.5713170000000005,22.909839153427654,0.02017666666666665,3.1999999999999993,8.8,3.109341123022417,159.00720004724002
EAU,EAU,0.0,0.0,0.0,0.00011568524447680417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAU,NWN,0.05570828426342905,0.07050397218202249,0.3708349999999986,0.00547584282646385,0.2058043333333326,9.925519187371648,0.07302666666666668,0.0,2.200000000000003,3.661759486066516,296.96823528104596
EAU,NCA,0.1504498385505568,0.08066124758833212,1.2936146666666666,0.01110223868352822,1.2935800000000006,38.30250600167999,0.10262333333333332,8.6,13.600000000000001,5.863859366780637,266.0758500565293
EAU,EAS,0.14745632375926493,0.11015390399730529,3.525914,0.0046818439713782745,3.5259139999999984,320.82573448296137,0.055996666666666695,21.3,56.5,22.201750715171283,64.55131955899269
NWN,WCE,0.01799470670756121,0.01796485868333187,0.630561000000001,0.0025822014004919236,0.3490463333333329,30.705394852931008,0.04343666666666668,2.5999999999999996,11.899999999999999,3.05329518084622,144.0016477034404
NWN,NEU,0.031854829988407746,0.032785243824319674,0.7121876666666669,0.004997639727605474,0.24249966666666634,31.334670168219894,0.06316666666666665,2.299999999999999,12.299999999999997,1.7355019433796166,144.80471231560347
NWN,WNA,0.18762663414370678,0.1286080795672765,0.4181583333333339,0.0007665549718098852,0.3365669999999996,18.842000067647007,0.005319999999999991,1.5,6.299999999999997,4.228118597879599,24.772908795692988
NWN,ENA,0.041566137499826336,0.02845217707451164,0.630425333333334,0.0017239319886379612,0.5486560000000003,21.890544955807997,0.015199999999999991,4.300000000000001,6.100000000000001,2.8334670781801767,55.533369801321
NWN,CNA,0.1094109884519611,0.07476778228662925,0.5199483333333345,0.010873887588571218,0.4589936666666663,1.7764245184507743,0.10224666666666668,0.6999999999999993,1.3000000000000043,3.5708264789205124,40.562142814563344
NWN,SAU,0.03772070300905568,0.03751574841994015,0.8265843333333328,0.002617243509568601,0.8265843333333331,28.727639228175004,0.05402666666666667,4.0,11.199999999999996,3.4711280434511917,286.27696485570516
NWN,MED,0.05425774364028282,0.0471878274969365,0.7895700000000113,0.010144972290749399,0.7771213333333331,12.984319966056006,0.09320333333333333,3.1999999999999993,6.599999999999998,3.7990692614582713,142.1048479597585
NWN,EAU,0.07050397218202249,0.05570828426342905,0.3708349999999986,0.006789926679131142,0.2058043333333326,9.925519187371648,0.07302666666666668,0.0,2.200000000000003,3.661759486066516,296.96823528104596
NWN,NWN,0.0,0.0,0.0,8.189304192773861e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NWN,NCA,0.2516817734203442,0.17359713738714463,1.5014383333333325,0.03252906411422973,1.4993843333333332,28.376986814308335,0.17565,8.6,11.399999999999999,5.597053402863254,36.254014227950705
NWN,EAS,0.18994579406955506,0.11171988133764484,3.3961209999999986,0.0029094575617674145,3.320109666666666,330.751253670333,0.01702999999999999,21.3,58.7,20.7525751864546,252.66870701925154
NCA,WCE,0.23872784310999529,0.35792022389619327,1.2955813333333333,0.04004807923085507,1.1503380000000003,2.3284080386226726,0.21908666666666668,6.0,0.5,4.401611401113482,120.48428220340085
NCA,NEU,0.2992586729119221,0.4576474431068056,1.4246693333333327,0.047365242085260384,1.2568846666666669,2.957683353911559,0.23881666666666665,6.300000000000001,0.8999999999999986,4.660385343481388,123.03747422185748
NCA,WNA,0.11143788900265654,0.17000055405213796,1.1762033333333328,0.02245187495300116,1.1628173333333336,9.534986746661328,0.17033,7.1,5.100000000000001,5.762711567736889,11.95513233006116
NCA,ENA,0.1250180052400897,0.1583314537454483,2.048167000000002,0.024871500057177975,2.0480403333333337,50.267531770116335,0.16045,12.9,17.5,7.192232105523477,28.3461812586143
NCA,CNA,0.033587624990987455,0.03954243998903176,1.041053999999999,0.004710284255075914,1.040390666666667,30.15341133275911,0.07340333333333332,7.9,12.700000000000003,4.460699954893447,12.762112366273143
NCA,SAU,0.1465606040094893,0.312114375939931,0.741513333333332,0.013154202068203169,0.6728000000000001,0.3506524138666691,0.12162333333333333,4.6,0.20000000000000284,2.8123950007823195,254.75010756009087
NCA,MED,0.07078619415124364,0.14284311962293952,0.722263000000013,0.004990106739602318,0.7222630000000001,15.392666848252329,0.08244666666666667,5.4,4.800000000000001,4.310087516801724,116.55921234492422
NCA,EAU,0.08066124758833212,0.1504498385505568,1.2936146666666666,0.008223344096511154,1.2935800000000006,38.30250600167999,0.10262333333333332,8.6,13.600000000000001,5.863859366780637,266.0758500565293
NCA,NWN,0.17359713738714463,0.2516817734203442,1.5014383333333325,0.024600509562231032,1.4993843333333332,28.376986814308335,0.17565,8.6,11.399999999999999,5.597053402863254,36.254014227950705
NCA,NCA,0.0,0.0,0.0,7.709895854324245e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCA,EAS,0.15208666268170304,0.20821991919366134,4.819493999999999,0.025322622611742673,4.819493999999999,359.12824048464137,0.15862,29.9,70.1,23.63704841599716,225.87890533468374
EAS,WCE,0.18496965630611562,0.25470651154866236,3.9237199999999985,0.00668450767790163,3.6691559999999988,361.45664852326405,0.06046666666666667,23.9,70.6,20.111595069760757,109.60718008895698
EAS,NEU,0.2192852597585832,0.3255549404609843,3.944982666666665,0.007892734426629744,3.562609333333332,362.0859238385529,0.08019666666666664,23.6,71.0,20.742974666106296,110.81141522564081
EAS,WNA,0.19527291475203432,0.17504832027786282,3.720244666666666,0.0037453412308765532,3.6566766666666655,349.59325373798004,0.011709999999999998,22.8,65.0,23.29106588149178,232.31901396258826
EAS,ENA,0.07257485304624522,0.11833900264412688,2.7875836666666642,0.000927832589690647,2.7714536666666656,308.860708714525,0.0018299999999999983,17.0,52.6,18.78741017129765,198.87778734810945
EAS,CNA,0.0895437202433365,0.0971609620504097,3.77910333333333,0.00746288106849291,3.779103333333332,328.97482915188226,0.08521666666666669,22.0,57.4,20.05107734207234,215.43849633394842
EAS,SAU,0.17993642654405217,0.3118211228942141,4.152901333333331,0.006022061074949958,4.146693999999999,359.47889289850804,0.03699666666666668,25.3,69.9,21.4357089001579,64.57329658741189
EAS,MED,0.12684761553883273,0.17982191619325547,4.099964333333338,0.00794023285422174,4.097230999999999,343.73557363638906,0.07617333333333334,24.5,65.3,23.794120782473577,110.56668173530544
EAS,EAU,0.11015390399730529,0.14745632375926493,3.525914,0.004406181264407172,3.5259139999999984,320.82573448296137,0.055996666666666695,21.3,56.5,22.201750715171283,64.55131955899269
EAS,NWN,0.11171988133764484,0.18994579406955506,3.3961209999999986,0.0035671417010954,3.320109666666666,330.751253670333,0.01702999999999999,21.3,58.7,20.7525751864546,252.66870701925154
EAS,NCA,0.20821991919366134,0.15208666268170304,4.819493999999999,0.022439310332041718,4.819493999999999,359.12824048464137,0.15862,29.9,70.1,23.63704841599716,225.87890533468374
EAS,EAS,0.0,0.0,0.0,5.846259549402433e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
