ar6_region,n_stations,latitude_mean,latitude_std,latitude_median,longitude_mean,longitude_std,longitude_median,n_obs_train_mean,n_obs_train_std,n_obs_train_median,wet_day_fraction_gt1mm_mean,wet_day_fraction_gt1mm_std,wet_day_fraction_gt1mm_median,wet_day_mean_intensity_mean,wet_day_mean_intensity_std,wet_day_mean_intensity_median,daily_precip_cv_mean,daily_precip_cv_std,daily_precip_cv_median,monthly_climatology_amplitude_mean,monthly_climatology_amplitude_std,monthly_climatology_amplitude_median,top3_month_precip_fraction_mean,top3_month_precip_fraction_std,top3_month_precip_fraction_median,occurrence_lag1_autocorr_mean,occurrence_lag1_autocorr_std,occurrence_lag1_autocorr_median,wet_intensity_lag1_autocorr_mean,wet_intensity_lag1_autocorr_std,wet_intensity_lag1_autocorr_median,dry_spell_mean_days_mean,dry_spell_mean_days_std,dry_spell_mean_days_median,dry_spell_p95_days_mean,dry_spell_p95_days_std,dry_spell_p95_days_median,wet_day_p95_mean,wet_day_p95_std,wet_day_p95_median,wet_day_p99_mean,wet_day_p99_std,wet_day_p99_median,extreme_tail_ratio_p99_p95_mean,extreme_tail_ratio_p99_p95_std,extreme_tail_ratio_p99_p95_median,coverage_threshold_mean,coverage_threshold_std,coverage_threshold_median
CNA,438,38.56150088026383,4.730814280781419,39.2147,-97.17985557267883,4.421977000265184,-97.13942319444445,2897.4132420091323,35.879349159390735,2915.0,0.17699414298136346,0.0398750775814441,0.17871840114775517,11.7045993843284,3.190698140019543,11.3737637525139,3.537563069226391,0.4840817154335683,3.4639375086417044,712.5566210045662,188.81477451474782,701.5,0.4114839791493083,0.0623344503673138,0.40955846777056093,0.18853241062866335,0.025869330249329234,0.18826058416752728,0.07060250470247735,0.05662177026515892,0.06702907605589774,7.2567876750221885,1.8465592841800362,6.794850352112676,22.21187214611871,6.864143104588874,21.0,38.09081050228309,10.594626691422343,37.23749999999998,65.53934703196344,19.763703400978663,62.78500000000003,1.722797391119089,0.20843619414932946,1.694754066294518,95.0,0.0,95.0
EAS,110,24.999796546363637,5.9891705729594,22.36254425,117.89261180727273,8.500283412182782,114.1854204,2840.018181818182,105.46263148085079,2881.0,0.2619645284658203,0.035595164922531466,0.2605411009713281,22.32134072090326,4.42509126650036,23.714067186914136,3.243094697249479,0.2534230067902964,3.2747381549108727,3905.359090909091,1441.8371565214188,4317.0,0.5445014743036944,0.07520231142119138,0.574789893684749,0.35756636211779186,0.07073600070991595,0.38838705871924695,0.16470958795458762,0.06109970914567917,0.17519004842844227,5.973304597322264,0.9470313175618225,6.217319232867514,19.794090909090905,4.138040864164413,20.87499999999997,81.67781818181815,17.815055295900617,87.51249999999999,152.75432727272724,36.51166076726247,161.8274999999999,1.867813398543564,0.18979422864872778,1.8706154207634471,80.0,0.0,80.0
EAU,241,-30.57022946058091,2.305391006912595,-30.7299,150.74381784232364,1.6999592194290953,151.0932,2883.609958506224,35.831279171718265,2896.0,0.20628105951784845,0.06308717673782327,0.1955617198335645,11.241205060945532,1.6982430685030663,10.918725099601593,3.3685489949547898,0.47011320495728853,3.2928707401522317,834.2655601659751,381.2707808770854,714.4000000000001,0.4070551376247937,0.03187961310686882,0.40540179678409977,0.28226749119516686,0.04871048854890729,0.2800937101906206,0.13580431258154285,0.09738361290118405,0.12573082390387288,7.157240483743252,1.9084162557364737,6.8698224852071,21.85435684647302,7.0218165756540545,20.099999999999966,37.27962655601658,7.416160469539371,35.93999999999998,65.89961825726138,19.54729005246843,60.77799999999996,1.7478079051967732,0.22085807052503476,1.7180012414649304,95.0,0.0,95.0
ENA,522,38.989633644976585,4.747893540772666,39.93275,-80.55330298080034,6.281113918235543,-81.535,2900.4942528735633,32.46721313139449,2916.0,0.2636865078570336,0.043276441203233464,0.2560172839001327,11.868025511559981,2.5470255061301263,12.101149078554954,2.7719647735757627,0.3274278356955723,2.8101699134701947,625.5614942528736,234.36497185112026,579.5,0.33322587464549597,0.03727278082782945,0.3239121975507446,0.16886183573033997,0.029480492657351004,0.16393451236783896,0.04941580202275991,0.04777227741355513,0.04617571774627777,4.632001828479278,0.7073649659786739,4.646874416868819,12.88812260536398,2.284568679247397,13.0,37.795498084291175,8.80966079164866,38.832500000000024,64.34408812260534,17.4965449682831,63.55299999999987,1.6986412128113502,0.182342368188101,1.6766048534542208,95.0,0.0,95.0
MED,328,40.11911602303523,2.543019773528363,39.86527777777778,8.274132215447155,12.631449325818139,3.0387499999999994,2897.4725609756097,38.723585375961044,2918.0,0.1861451202091436,0.06029181592771498,0.17248459958932238,9.53591246713893,2.5202619553558745,9.228942424131224,3.542390644885146,0.9300552950965251,3.4141759945009964,735.0091463414634,351.2825447069391,673.8,0.4203848180768059,0.053544818249397774,0.42275582052106975,0.31601646278080425,0.054578777211398845,0.31028241728349004,0.08752359518494665,0.06335233979099429,0.07950939923440124,8.405440814641642,2.318950356823958,8.258527542372882,28.08231707317072,8.654942806380983,28.0,30.50050304878048,9.824151353812733,29.195,54.294249999999984,21.485236146992875,50.42399999999991,1.7647267297942557,0.2987183326793913,1.7101520935635484,95.0,0.0,95.0
NCA,144,31.74360277777778,1.9960160462219347,32.60875,-108.05970208333333,6.778333061285495,-108.50479999999999,2781.965277777778,164.85460486130876,2836.0,0.10287198449752356,0.04750517823684813,0.0930323440143381,10.49152713485848,3.0811582090770555,9.74249354005168,4.969572135421824,1.3030742919790066,4.841909061247666,618.7291666666666,269.3509992958599,583.2,0.5612455220231938,0.09323183906658356,0.5693747369930999,0.26267679402457755,0.06795234321852053,0.25173610770133836,0.09956976922370946,0.0973401555715095,0.09819163738944592,15.03081858212739,8.781277995082391,13.154132161568363,56.083333333333314,32.26401739061361,50.0,34.16208333333332,11.111526295176173,31.074999999999996,58.53818749999997,22.74795982828377,50.711999999999996,1.7067006980768993,0.31512664470485285,1.6715386446725375,80.0,0.0,80.0
NEU,2355,58.35953266808209,4.640579693899457,58.76583333333333,12.168331464968153,7.565764245605897,10.966666666666669,2916.1864118895965,20.017464392508916,2922.0,0.3421046353629576,0.061143833362273414,0.3323066392881588,6.448870032886587,1.7523174125957823,5.976489707475622,2.1155132948043303,0.2676741005778757,2.102665699620113,645.8289596602972,285.7171932559701,596.9,0.36337680039556347,0.026611795615831574,0.3608124451218502,0.2805553338745088,0.05998585337527492,0.2748156261409277,0.09951284208322865,0.053452395613931045,0.09307096428836714,4.159081780752651,0.47245865506431045,4.105042016806722,13.465817409766448,1.7985170778938577,13.0,18.620936305732478,5.33656938050567,17.2,30.73014692144373,7.926461799340217,29.036000000000012,1.6639993521933627,0.1473107991750607,1.6521546961325975,95.0,0.0,95.0
NWN,183,58.24171356102004,5.657746566608806,58.6167,-132.5595946372192,16.723147506371337,-134.5561,2824.5464480874316,130.36110783173328,2883.0,0.2785900849393239,0.14928351854573968,0.20891938250428815,7.260695173095203,4.068017873995826,5.790149253731344,2.6677455388637004,0.6536750713759266,2.790994383607694,938.5775956284152,883.0356933974793,614.6,0.4608008032662643,0.07310259978907671,0.45550235106337084,0.2662126818999085,0.08476014091476108,0.2427173329266593,0.15680755008487768,0.07962075727195668,0.15008023066740042,5.861973518724925,2.4304880553176407,5.8545454545454545,19.069672131147534,8.857783309984312,19.0,22.29953551912568,13.25289291154314,18.0,37.55597267759563,21.639931663740004,30.6,1.6943305976016483,0.22088058983554673,1.663755458515284,80.0,0.0,80.0
SAU,351,-36.5433452991453,3.4197341160679837,-36.8892,137.49388205128204,12.467465508972523,144.2392,2887.071225071225,37.46195095877633,2901.0,0.22511359587263563,0.07670590186902802,0.22485410230003433,7.577741041097264,1.4949818004551776,7.255539971949509,3.1608018307044095,0.6946502575717015,3.054912881265169,477.93219373219375,283.6156557547093,386.8,0.36462884095924364,0.05268077997730853,0.3491703569332551,0.2589121709437478,0.05847924648098639,0.2596382854069314,0.106673368514571,0.07034447149172533,0.10156994124605556,6.636155047751923,2.378560131774106,6.021447721179625,20.68717948717948,8.512874671040045,18.0,23.685014245014237,5.733479241619544,22.6,44.18354985754985,12.408609304013488,41.39200000000001,1.8702465448876213,0.27870671942473213,1.8307189542483637,95.0,0.0,95.0
WCE,4493,50.05143261500606,2.0313843431106884,50.16666666666666,11.136208872468284,3.8182165214608204,10.895,2918.6677053193857,14.468137406359919,2922.0,0.32375429194435357,0.04644314511621755,0.32375085557837097,6.723463276341766,1.648655973755258,6.152858683926646,2.2419690223348,0.24707479057787077,2.188361129615971,592.1126040507456,241.9725151296495,527.6000000000001,0.362656014520309,0.03314526372781841,0.35604523442361286,0.2678747838496824,0.039020970848869165,0.26787950618336737,0.09295877269775345,0.04911309811569494,0.08806518407192426,4.2945818520976236,0.5253718323738381,4.217948717948718,13.442510572000884,1.8686873837032043,13.0,19.799445804584906,5.579033008496732,17.779999999999998,33.70830558646783,9.117472039704696,31.038999999999998,1.7133103641818261,0.16360548751925455,1.6952427184465986,95.0,0.0,95.0
WNA,975,42.10086220518519,3.9801522946354613,41.9,-113.85116879082621,5.816858096256378,-113.16,2909.18358974359,28.673409496462696,2921.0,0.2731899847020255,0.11457456052025251,0.2871321013004791,7.961223747682733,3.1908915539801064,6.955369928400954,2.7543234792434683,1.010713486599667,2.408068833480294,934.4202051282051,746.3439125516012,700.8000000000001,0.429573714296412,0.07839001808188535,0.4111373137528137,0.29389806467461854,0.09089656991850115,0.2773380688859987,0.1470825091117854,0.08604920965939558,0.14237934131607916,6.78196426151767,5.058794868423883,4.936555891238671,23.090205128205117,21.10563971261279,16.0,23.724938461538457,10.540834031536498,20.3,39.250704615384606,18.009308094996364,34.403999999999904,1.6554989468068895,0.1920430334853237,1.625615763546798,95.0,0.0,95.0
