ar6_region,source_id,coverage_threshold,period_start,n_stations
CAR,global_ghcnd_01,80,2000,10
CAR,usa_nerrs_totprcp_01,80,2000,1
CAU,global_ghcnd_01,80,2000,72
CNA,can_eccc_climate_stations_01,80,2000,15
CNA,global_ghcnd_01,80,2000,576
EAS,global_ghcnd_01,80,2000,15
EAS,hkg_geo_raingauge_01,80,2000,82
EAU,global_ghcnd_01,80,2000,415
EEU,global_ghcnd_01,80,2000,16
ENA,can_eccc_climate_stations_01,80,2000,89
ENA,global_ghcnd_01,80,2000,623
ENA,usa_nerrs_totprcp_01,80,2000,8
ESB,global_ghcnd_01,80,2000,39
GIC,can_eccc_climate_stations_01,80,2000,1
GIC,eur_ecad_01,80,2000,3
MED,esp_aemet_daily_hist_01,80,2000,148
MED,eur_ecad_01,80,2000,395
MED,global_ghcnd_01,80,2000,75
NAU,global_ghcnd_01,80,2000,45
NCA,global_ghcnd_01,80,2000,128
NCA,usa_nerrs_totprcp_01,80,2000,1
NEN,can_eccc_climate_stations_01,80,2000,27
NEN,global_ghcnd_01,80,2000,11
NES,bra_inmet_hist_01,80,2000,2
NEU,deu_dwd_cdc_01,80,2000,126
NEU,eur_ecad_01,80,2000,2621
NEU,global_ghcnd_01,80,2000,600
NWN,can_eccc_climate_stations_01,80,2000,63
NWN,global_ghcnd_01,80,2000,96
RAR,global_ghcnd_01,80,2000,28
RFE,global_ghcnd_01,80,2000,36
SAH,esp_aemet_daily_hist_01,80,2000,18
SAH,eur_ecad_01,80,2000,24
SAH,global_ghcnd_01,80,2000,7
SAU,global_ghcnd_01,80,2000,569
SEA,global_ghcnd_01,80,2000,8
SES,bra_inmet_hist_01,80,2000,2
SSA,chl_dmc_precip_01,80,2000,2
SWS,chl_dmc_precip_01,80,2000,21
SWS,global_ghcnd_01,80,2000,1
WAN,chl_dmc_precip_01,80,2000,2
WCA,eur_ecad_01,80,2000,7
WCA,global_ghcnd_01,80,2000,1
WCE,che_meteoswiss_01,80,2000,342
WCE,deu_dwd_cdc_01,80,2000,1163
WCE,eur_ecad_01,80,2000,4635
WCE,global_ghcnd_01,80,2000,501
WNA,can_eccc_climate_stations_01,80,2000,51
WNA,global_ghcnd_01,80,2000,1170
WNA,usa_nerrs_totprcp_01,80,2000,2
WSB,global_ghcnd_01,80,2000,17
CAR,global_ghcnd_01,95,2000,4
CAU,global_ghcnd_01,95,2000,30
CNA,can_eccc_climate_stations_01,95,2000,5
CNA,global_ghcnd_01,95,2000,364
EAS,hkg_geo_raingauge_01,95,2000,49
EAU,global_ghcnd_01,95,2000,191
ENA,can_eccc_climate_stations_01,95,2000,28
ENA,global_ghcnd_01,95,2000,431
GIC,can_eccc_climate_stations_01,95,2000,1
GIC,eur_ecad_01,95,2000,3
MED,esp_aemet_daily_hist_01,95,2000,85
MED,eur_ecad_01,95,2000,188
MED,global_ghcnd_01,95,2000,39
NAU,global_ghcnd_01,95,2000,13
NCA,global_ghcnd_01,95,2000,63
NEN,can_eccc_climate_stations_01,95,2000,15
NEU,deu_dwd_cdc_01,95,2000,110
NEU,eur_ecad_01,95,2000,2329
NEU,global_ghcnd_01,95,2000,504
NWN,can_eccc_climate_stations_01,95,2000,31
NWN,global_ghcnd_01,95,2000,50
SAH,esp_aemet_daily_hist_01,95,2000,9
SAH,eur_ecad_01,95,2000,14
SAH,global_ghcnd_01,95,2000,4
SAU,global_ghcnd_01,95,2000,282
SSA,chl_dmc_precip_01,95,2000,2
SWS,chl_dmc_precip_01,95,2000,18
WAN,chl_dmc_precip_01,95,2000,2
WCA,eur_ecad_01,95,2000,7
WCE,che_meteoswiss_01,95,2000,336
WCE,deu_dwd_cdc_01,95,2000,979
WCE,eur_ecad_01,95,2000,3930
WCE,global_ghcnd_01,95,2000,396
WNA,can_eccc_climate_stations_01,95,2000,13
WNA,global_ghcnd_01,95,2000,853
CAR,global_ghcnd_01,80,2005,11
CAR,usa_nerrs_totprcp_01,80,2005,1
CAU,global_ghcnd_01,80,2005,69
CNA,can_eccc_climate_stations_01,80,2005,17
CNA,global_ghcnd_01,80,2005,746
EAS,global_ghcnd_01,80,2005,27
EAS,hkg_geo_raingauge_01,80,2005,83
EAU,global_ghcnd_01,80,2005,447
EEU,global_ghcnd_01,80,2005,16
ENA,can_eccc_climate_stations_01,80,2005,116
ENA,global_ghcnd_01,80,2005,717
ENA,usa_nerrs_totprcp_01,80,2005,15
ESB,global_ghcnd_01,80,2005,39
GIC,can_eccc_climate_stations_01,80,2005,2
GIC,eur_ecad_01,80,2005,3
GIC,global_ghcnd_01,80,2005,1
MED,esp_aemet_daily_hist_01,80,2005,240
MED,eur_ecad_01,80,2005,891
MED,global_ghcnd_01,80,2005,91
NAU,global_ghcnd_01,80,2005,58
NCA,global_ghcnd_01,80,2005,143
NCA,usa_nerrs_totprcp_01,80,2005,1
NEN,can_eccc_climate_stations_01,80,2005,43
NEN,global_ghcnd_01,80,2005,16
NES,bra_inmet_hist_01,80,2005,10
NEU,deu_dwd_cdc_01,80,2005,133
NEU,eur_ecad_01,80,2005,2729
NEU,global_ghcnd_01,80,2005,634
NWN,can_eccc_climate_stations_01,80,2005,76
NWN,global_ghcnd_01,80,2005,121
RAR,global_ghcnd_01,80,2005,29
RFE,global_ghcnd_01,80,2005,37
SAH,esp_aemet_daily_hist_01,80,2005,19
SAH,eur_ecad_01,80,2005,30
SAH,global_ghcnd_01,80,2005,7
SAU,global_ghcnd_01,80,2005,627
SEA,global_ghcnd_01,80,2005,8
SES,bra_inmet_hist_01,80,2005,14
SSA,chl_dmc_precip_01,80,2005,2
SWS,chl_dmc_precip_01,80,2005,21
SWS,global_ghcnd_01,80,2005,1
WAN,chl_dmc_precip_01,80,2005,2
WCA,eur_ecad_01,80,2005,7
WCA,global_ghcnd_01,80,2005,1
WCE,che_meteoswiss_01,80,2005,342
WCE,deu_dwd_cdc_01,80,2005,1355
WCE,eur_ecad_01,80,2005,4692
WCE,global_ghcnd_01,80,2005,564
WNA,can_eccc_climate_stations_01,80,2005,53
WNA,global_ghcnd_01,80,2005,1288
WNA,usa_nerrs_totprcp_01,80,2005,2
WSB,global_ghcnd_01,80,2005,17
CAR,global_ghcnd_01,95,2005,4
CAU,global_ghcnd_01,95,2005,27
CNA,can_eccc_climate_stations_01,95,2005,6
CNA,global_ghcnd_01,95,2005,432
EAS,hkg_geo_raingauge_01,95,2005,58
EAU,global_ghcnd_01,95,2005,241
ENA,can_eccc_climate_stations_01,95,2005,36
ENA,global_ghcnd_01,95,2005,479
ENA,usa_nerrs_totprcp_01,95,2005,7
GIC,can_eccc_climate_stations_01,95,2005,1
GIC,eur_ecad_01,95,2005,3
MED,esp_aemet_daily_hist_01,95,2005,102
MED,eur_ecad_01,95,2005,306
MED,global_ghcnd_01,95,2005,39
NAU,global_ghcnd_01,95,2005,16
NCA,global_ghcnd_01,95,2005,71
NEN,can_eccc_climate_stations_01,95,2005,14
NES,bra_inmet_hist_01,95,2005,1
NEU,deu_dwd_cdc_01,95,2005,115
NEU,eur_ecad_01,95,2005,2375
NEU,global_ghcnd_01,95,2005,523
NWN,can_eccc_climate_stations_01,95,2005,33
NWN,global_ghcnd_01,95,2005,58
SAH,esp_aemet_daily_hist_01,95,2005,1
SAH,eur_ecad_01,95,2005,16
SAH,global_ghcnd_01,95,2005,4
SAU,global_ghcnd_01,95,2005,351
SES,bra_inmet_hist_01,95,2005,1
SSA,chl_dmc_precip_01,95,2005,2
SWS,chl_dmc_precip_01,95,2005,18
WAN,chl_dmc_precip_01,95,2005,2
WCA,eur_ecad_01,95,2005,7
WCE,che_meteoswiss_01,95,2005,333
WCE,deu_dwd_cdc_01,95,2005,1145
WCE,eur_ecad_01,95,2005,4101
WCE,global_ghcnd_01,95,2005,464
WNA,can_eccc_climate_stations_01,95,2005,17
WNA,global_ghcnd_01,95,2005,957
WNA,usa_nerrs_totprcp_01,95,2005,1
